1361:	406 2947 
1362:	1587 3611 
1363:	1584 1587 
1364:	1280 1587 
1365:	3400 
1366:	430 3400 
1367:	2325 3400 
1368:	2325 2372 
1369:	579 3593 
1370:	1599 3593 
1371:	2325 3593 
1372:	897 
1373:	42 2642 
1374:	42 897 
1375:	894 
1376:	886 894 
1377:	894 897 
1378:	42 3731 
1379:	2125 
1380:	826 1077 
1381:	1077 2125 
1382:	2385 
1383:	1071 2228 
1384:	2228 2385 
1385:	2125 2385 
1386:	2698 3366 
1387:	2228 3366 
1388:	1077 3366 
1389:	914 
1390:	552 1633 
1391:	914 1633 
1392:	1778 
1393:	646 1778 
1394:	914 1778 
1395:	397 1633 
1396:	546 
1397:	1883 2035 
1398:	546 1883 
1399:	546 2963 
1400:	695 3645 
1401:	2934 3594 
1402:	695 3594 
1403:	695 1883 
1404:	1979 3594 
1405:	3186 
1406:	904 3186 
1407:	914 1601 
1408:	1601 3186 
1409:	372 2930 
1410:	372 651 
1411:	431 651 
1412:	372 1633 
1413:	651 1601 
1414:	258 
1415:	258 1017 
1416:	258 1238 
1417:	656 
1418:	656 1653 
1419:	656 2701 
1420:	645 885 
1421:	645 3120 
1422:	645 3119 
1423:	3384 
1424:	488 3384 
1425:	488 2225 
1426:	3065 3384 
1427:	489 1672 
1428:	489 2419 
1429:	285 488 
1430:	285 489 
1431:	285 539 
1432:	3394 
1433:	3394 3398 
1434:	2607 3398 
1435:	339 3394 
1436:	945 3404 
1437:	3403 3404 
1438:	2610 3403 
1439:	2656 3404 
1440:	3398 3403 
1441:	1918 
1442:	1918 2125 
1443:	112 1918 
1444:	112 1742 
1445:	1077 3256 
1446:	348 3256 
1447:	3176 3256 
1448:	112 3176 
1449:	3176 3615 
1450:	1375 
1451:	280 352 
1452:	280 1375 
1453:	638 1375 
1454:	280 3033 
1455:	58 3033 
1456:	1559 3033 
1457:	691 
1458:	291 691 
1459:	1365 3603 
1460:	691 3603 
1461:	19 3603 
1462:	2043 
1463:	1341 2043 
1464:	1379 2043 
1465:	2040 3729 
1466:	1759 
1467:	1759 2334 
1468:	1759 2097 
1469:	1862 3320 
1470:	1347 3320 
1471:	69 3320 
1472:	1637 
1473:	1637 1658 
1474:	577 1658 
1475:	1637 2095 
1476:	200 3583 
1477:	1722 3583 
1478:	32 3583 
1479:	32 2864 
1480:	32 1658 
1481:	947 
1482:	247 769 
1483:	247 947 
1484:	947 1600 
1485:	400 1086 
1486:	247 1086 
1487:	1086 1593 
1488:	3377 
1489:	3223 3377 
1490:	897 3223 
1491:	644 3377 
1492:	554 3267 
1493:	42 554 
1494:	2900 3264 
1495:	554 2900 
1496:	2900 3223 
1497:	1445 
1498:	239 3384 
1499:	239 1445 
1500:	3094 
1501:	2744 3094 
1502:	976 
1503:	976 1445 
1504:	717 3094 
1505:	717 976 
1506:	488 1084 
1507:	239 1084 
1508:	717 1084 
1509:	3080 
1510:	2716 3394 
1511:	2716 3080 
1512:	2512 
1513:	2512 3613 
1514:	3613 3616 
1515:	2887 
1516:	1434 2512 
1517:	1434 2887 
1518:	2887 3080 
1519:	1434 3059 
1520:	3059 3613 
1521:	2109 2716 
1522:	2109 3398 
1523:	2109 3059 
1524:	588 
1525:	588 691 
1526:	2619 
1527:	2619 2621 
1528:	2253 
1529:	588 2253 
1530:	2253 2619 
1531:	2364 
1532:	1654 2390 
1533:	2364 2390 
1534:	1401 
1535:	1401 1583 
1536:	947 1583 
1537:	3343 
1538:	1401 3343 
1539:	3343 3468 
1540:	2364 3468 
1541:	247 1580 
1542:	1580 2390 
1543:	1395 1583 
1544:	1395 3468 
1545:	1395 1580 
1546:	764 
1547:	258 1283 
1548:	764 1283 
1549:	3365 
1550:	1887 1896 
