1556:	180 622 
1557:	134 621 
1558:	620 623 
1559:	226 622 
1560:	181 621 
1561:	652 
1562:	165 652 
1563:	219 634 
1564:	652 
1565:	209 653 
1566:	146 652 
1567:	652 
1568:	206 219 
1569:	175 209 
1570:	175 653 
1571:	165 652 
1572:	206 634 
1573:	710 
1574:	251 719 
1575:	143 710 
1576:	720 
1577:	163 720 
1578:	235 633 
1579:	710 
1580:	251 720 
1581:	186 710 
1582:	182 235 
1583:	719 720 
1584:	143 710 
1585:	186 710 
1586:	182 633 
1587:	235 633 
1588:	635 
1589:	145 635 
1590:	236 634 
1591:	635 
1592:	236 652 
1593:	173 635 
1594:	195 219 
1595:	195 652 
1596:	173 635 
1597:	219 634 
1598:	650 
1599:	139 650 
1600:	214 602 
1601:	642 
1602:	126 642 
1603:	211 603 
1604:	650 
1605:	202 650 
1606:	214 642 
1607:	191 211 
1608:	126 650 
1609:	191 603 
1610:	202 650 
1611:	602 642 
1612:	211 603 
1613:	641 
1614:	237 685 
1615:	157 641 
1616:	641 
1617:	218 685 
1618:	127 641 
1619:	641 
1620:	196 237 
1621:	184 218 
1622:	184 196 
1623:	692 
1624:	161 692 
1625:	220 590 
1626:	668 
1627:	142 668 
1628:	245 559 
1629:	668 
1630:	245 692 
1631:	187 668 
1632:	193 220 
1633:	161 668 
1634:	193 590 
1635:	559 692 
1636:	187 668 
1637:	220 590 
1638:	565 
1639:	217 644 
1640:	151 565 
1641:	608 
1642:	128 608 
1643:	240 607 
1644:	565 
1645:	192 240 
1646:	217 608 
1647:	208 565 
1648:	240 644 
1649:	192 608 
1650:	208 644 
1651:	128 608 
1652:	565 607 
1653:	680 
1654:	133 680 
1655:	213 616 
1656:	621 
1657:	242 680 
1658:	183 621 
1659:	172 213 
1660:	133 621 
1661:	620 680 
1662:	183 621 
1663:	172 616 
1664:	213 616 
1665:	623 
1666:	172 250 
1667:	169 226 
1668:	169 172 
1669:	632 
1670:	170 632 
1671:	251 629 
1672:	222 710 
1673:	174 632 
1674:	162 719 
1675:	143 629 
1676:	222 710 
1677:	632 719 
1678:	560 710 
1679:	251 629 
1680:	174 629 
1681:	680 
1682:	180 216 
1683:	168 213 
1684:	168 180 
1685:	641 
1686:	168 641 
1687:	237 617 
1688:	177 233 
1689:	233 685 
1690:	132 641 
1691:	177 617 
1692:	720 
1693:	144 720 
1694:	234 633 
1695:	637 
1696:	164 637 
1697:	231 547 
1698:	637 
1699:	195 234 
1700:	231 720 
1701:	186 637 
1702:	144 720 
1703:	195 720 
1704:	633 637 
1705:	186 547 
1706:	234 547 
1707:	720 
1708:	185 235 
1709:	174 234 
1710:	174 185 
1711:	692 
1712:	137 692 
1713:	244 590 
1714:	692 
1715:	178 244 
1716:	194 220 
1717:	178 194 
1718:	591 
1719:	223 592 
1720:	138 591 
1721:	638 
1722:	147 638 
1723:	241 553 
1724:	591 
1725:	194 241 
1726:	223 638 
1727:	207 591 
1728:	592 638 
1729:	147 591 
1730:	207 591 
1731:	194 553 
1732:	241 553 
1733:	651 
1734:	152 651 
1735:	224 577 
1736:	651 
1737:	171 224 
1738:	199 215 
1739:	152 651 
1740:	171 577 
1741:	199 471 
1742:	598 
1743:	153 598 
1744:	227 596 
1745:	598 
1746:	140 598 
1747:	221 596 
1748:	598 
1749:	212 227 
1750:	203 221 
1751:	203 212 
1752:	650 
1753:	149 650 
1754:	228 646 
1755:	650 
1756:	176 228 
1757:	204 214 
1758:	149 650 
1759:	176 646 
1760:	204 602 
1761:	642 
1762:	167 642 
1763:	225 603 
1764:	565 
1765:	179 225 
1766:	217 642 
1767:	202 565 
1768:	642 644 
